회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,당기순이익,매출액,판매비와 관리비,매출원가,매입채무,금융원가
(주)파인테크닉스,106240,2019/12,141854.0,51102.0,52518.0,58897.0,82957.0,17330.0,304.0,134292.0,9831.0,117543.0,19092.068,2151.0
(주)파인테크닉스,106240,2020/12,138946.0,52237.0,58049.0,59683.0,79263.0,15352.0,5437.0,169823.0,26996.0,132755.0,11649.857,2553.0
(주)파인테크닉스,106240,2021/12,335272.0,103110.0,196747.0,175582.0,159690.0,22175.0,51129.0,433368.0,35801.0,361618.0,62055.958,5287.0
(주)파인테크닉스,106240,2022/12,163553.0,34990.0,48116.0,59311.0,104242.0,14973.0,250630.0,51459.0,15318.0,35417.0,6296.864,1129.0
(주)파인텍,131760,2015/12,107575.0,42428.0,60370.0,59282.0,48293.0,6675.0,3024.0,205426.0,16493.0,177496.0,17709.734,14292.0
(주)파인텍,131760,2016/12,219618.0,155998.0,130293.0,172720.0,46899.0,17289.0,-7903.0,153717.0,17247.0,144684.0,67791.64,8387.0
(주)파인텍,131760,2017/12,150392.0,100325.0,77737.0,108950.0,41442.0,7518.0,-22277.0,122257.0,11371.0,102942.0,27373.056,10489.0
(주)파인텍,131760,2018/12,103304.0,67740.0,35962.0,75566.0,27737.0,2192.0,-15415.0,65851.0,10344.0,55152.0,13104.167,9065.0
(주)파인텍,131760,2019/12,120242.0,46038.0,53511.0,57626.0,62615.0,2262.0,90.0,77881.0,12411.0,61915.0,13487.188,9014.0
(주)파인텍,131760,2020/12,100234.0,54415.0,56374.0,67081.0,33153.0,3723.0,-27672.0,81254.0,14514.0,72524.0,7565.849,7234.0
(주)파인텍,131760,2021/12,78193.0,44342.0,41418.0,50580.0,27612.0,3263.0,-7149.0,66571.0,14026.0,50693.0,7147.665,4724.0
(주)파인텍,131760,2022/12,77684.0,36162.0,41113.0,43111.0,34573.0,3797.0,5972.0,81411.0,14807.0,59937.0,8140.075,6530.0
(주)파커스,65690,2011/12,96486.0,18845.0,52105.0,19105.0,77380.0,13112.0,3490.0,82210.0,7917.0,70771.0,6865.115,364.0
(주)파커스,65690,2012/12,97058.0,13438.0,53724.0,19041.0,78017.0,14499.0,741.0,89039.0,8466.0,77420.0,5695.873,1080.0
(주)파커스,65690,2013/12,93654.0,13050.0,53144.0,20390.0,73263.0,8019.0,-4782.0,75289.0,7454.0,67469.0,4800.287,1028.0
(주)파커스,65690,2014/12,92310.0,14128.0,52140.0,15828.0,76482.0,10893.0,3186.0,65862.0,7033.0,57516.0,5108.964,689.0
(주)파커스,65690,2015/12,93294.0,9658.0,52543.0,10864.0,82430.0,9202.0,3504.0,69895.0,8212.0,58914.0,393.457,176.0
(주)파커스,65690,2016/12,100842.0,12295.0,66827.0,12995.0,87847.0,9570.0,2536.0,63855.0,7538.0,52122.0,4216.334,393.0
(주)파커스,65690,2017/12,118887.0,16341.0,91192.0,29538.0,89349.0,11722.0,-2620.0,64532.0,11017.0,54336.0,10715.079,2327.0
(주)파커스,65690,2018/12,120126.0,26524.0,81861.0,26524.0,93602.0,11085.0,4540.0,100154.0,9419.0,88529.0,7464.749,2279.0
(주)파커스,65690,2019/12,117947.0,24062.0,65565.0,35245.0,82702.0,8557.0,-3566.0,100770.0,9734.0,95166.0,8164.744,1598.0
(주)파커스,65690,2020/12,107505.0,25280.0,58071.0,33934.0,73571.0,7886.0,-8260.0,78306.0,10732.0,69823.0,5827.538,3598.0
(주)파커스,65690,2021/12,146635.0,22563.0,61125.0,65549.0,81086.0,10933.0,8644.0,93682.0,10858.0,81624.0,7671.496,1209.0
(주)파커스,65690,2022/12,139766.0,32243.0,58030.0,75217.0,64549.0,12242.0,-9599.0,73122.0,18769.0,69545.0,7888.978,575.0
(주)파크시스템스,140860,2015/12,25515.0,2849.0,23379.0,2912.0,22603.0,6053.0,3608.0,19992.0,9687.0,7940.0,1304.834,652.0
(주)파크시스템스,140860,2016/12,32228.0,5529.0,29596.0,5802.0,26426.0,5202.0,3727.0,24452.0,12181.0,8808.0,1987.226,0.0
(주)파크시스템스,140860,2017/12,37075.0,6479.0,34403.0,6516.0,30559.0,9387.0,4545.0,32882.0,16303.0,10548.0,2975.907,1.0
(주)파크시스템스,140860,2018/12,43227.0,7076.0,40050.0,7112.0,36114.0,12859.0,5595.0,41810.0,20682.0,15443.0,2733.817,42.0
(주)파크시스템스,140860,2019/12,60510.0,15031.0,54237.0,16146.0,44363.0,16782.0,8506.0,51974.0,26163.0,17775.0,7511.192,183.0
(주)파크시스템스,140860,2020/12,104415.0,27265.0,80727.0,51333.0,53082.0,20341.0,9956.0,71223.0,31193.0,25049.0,4659.69,3703.0
(주)파크시스템스,140860,2021/12,133915.0,26670.0,106681.0,43773.0,90142.0,24398.0,9085.0,85250.0,37606.0,30063.0,5783.097,18273.0
(주)파크시스템스,140860,2022/12,167049.0,39688.0,126307.0,47586.0,119463.0,38292.0,27984.0,124522.0,48821.0,43053.0,6439.48,399.0
